X,Y,OBJECTID,EoICode,StationNam,Longitude,Latitude,Altitude,StationTyp,StationAre,avg15
-3.46666999956596,40.9102800002189,68,ES1802A,EL ATAZAR,-3.46667,40.91028,995,background,rural,5.867473
-4.27472000014534,40.2519400000787,69,ES1810A,VILLA DEL PRADO,-4.27472,40.25194,469,background,rural,11.740706
2.68665000054126,39.6776600002412,70,ES1827A,HOSPITAL JOAN MARCH,2.68665,39.67766,172,background,rural,6.991095
-0.359166659989919,39.7822222199064,71,ES2018A,ALGAR DE PALŔNCIA,-0.359167,39.782222,200,background,rural,9.177124
24.6848599999708,60.3143900004024,72,FI00208,Luukki,24.68486,60.31439,64,background,rural,5.008677
21.3739499996327,59.7792300000577,73,FI00349,Utö,21.37395,59.77923,7,background,rural,4.971934
27.6753999999985,60.5300200003179,74,FI00893,Virolahti 2,27.6754,60.53002,4,background,rural,5.294007
2.3438932224775,49.1002566330048,75,FR04048,Zone Rurale Nord,2.343893,49.100257,140,background,rural-regional,12.660772
2.23693980564856,48.3641401290419,76,FR04066,Zone rurale Sud,2.23694,48.36414,134,background,rural-regional,9.648008
2.64529596660528,48.3547092564376,77,FR04328,Zone Rurale SE,2.645296,48.354709,127,background,rural-regional,9.169847
3.60066325441923,46.6526446521042,78,FR07022,Paray le Fresil,3.600663,46.652645,235,background,rural-regional,8.447957
1.99144820300771,50.6104843522331,79,FR10132,Campagne les B.,1.991448,50.610484,170,background,rural-regional,10.634634
3.91261221998257,49.1586266239122,80,FR14203,Pourcy,3.912612,49.158627,153,background,rural-near_city,11.019525
-1.83632712154261,47.8319337220479,81,FR19008,Serv Tech Guipry,-1.836327,47.831934,29,background,rural-remote,8.913834
-0.458333034371745,48.645008347056,82,FR21050,La Coulonche MERA,-0.458333,48.645008,309,background,rural-remote,8.07166
-0.743681088640079,46.6567141998015,83,FR23124,LA TARDIERE,-0.743681,46.656714,143,background,rural-remote,10.524742
-0.444044430564228,47.7877116329951,84,FR23177,SAINT-DENIS D'ANJOU,-0.444044,47.787712,50,background,rural-regional,10.292241
5.71170417299843,43.933519953173,85,FR24039,Obs Haute-Provence,5.711704,43.93352,670,background,rural-regional,7.504084
4.09832992182144,47.2750173114064,86,FR26012,Station MORVAN,4.09833,47.275017,620,background,rural-remote,9.567993
